,Unnamed: 0,File_Name,rank,Rank_Diff,Time,SSIM,PSNR
1274,1274,"ILSVRC2012_val_00029783.4_15,10.j2k",3,-3,6.3144199839989605,0.661697314872628,12.634413691702516
1275,1275,ILSVRC2012_val_00048861.8_50.j2k,55,-55,6.329820791001112,0.26569745984137016,11.837025453909474
1276,1276,"ILSVRC2012_val_00004573.2_10,5,1.j2k",175,-113,6.331908579999436,0.672758268706114,13.640598517540095
1277,1277,"ILSVRC2012_val_00043109.2_100,20,10.j2k",1,-1,7.831520264999199,0.7049399862430331,12.760702251978152
1278,1278,"ILSVRC2012_val_00049923.1_100,20.j2k",2,-2,7.0272992530008205,0.6436657240140085,12.123375517995505
1279,1279,ILSVRC2012_val_00042652.4_200.j2k,106,-79,6.7723358450002715,0.2268174412946661,13.761684338171785
1280,1280,"ILSVRC2012_val_00043125.1_50,40,20.j2k",0,0,6.392824575999839,0.8314397195141999,13.262674527122725
1281,1281,ILSVRC2012_val_00005223.8_200.j2k,403,-403,6.32001463800043,0.1697550850230052,9.216888065463564
1282,1282,"ILSVRC2012_val_00005223.4_50,40,20.j2k",2,-2,6.323876730999472,0.6785491308222109,14.221576412233446
1283,1283,"ILSVRC2012_val_00000028.1_15,10.j2k",2,0,6.405946930000937,0.7365825913187583,13.718214111648278
1284,1284,ILSVRC2012_val_00005196.8_25.j2k,4,-4,6.407672875000571,0.7553878020120852,13.110661459820404
1285,1285,"ILSVRC2012_val_00004573.2_200,40,20.j2k",270,-208,6.389883126999848,0.6548555880954481,13.661206554030906
1286,1286,"ILSVRC2012_val_00001171.1_50,40,20.j2k",44,-43,6.3676862140000585,0.7780088451091831,14.427925182349615
1287,1287,"ILSVRC2012_val_00002625.8_15,10,1.j2k",0,0,6.314497522998862,0.6667830074689826,12.462063151326321
1288,1288,"ILSVRC2012_val_00027986.4_50,40,20.j2k",0,0,6.351868128000206,0.7669667574885355,13.09239239929606
1289,1289,"ILSVRC2012_val_00048756.1_10,5,1.j2k",1,0,6.435608118001255,0.6036996569412478,12.593871930686095
1290,1290,ILSVRC2012_val_00048800.8_50.j2k,366,-366,6.31205747400054,0.46354023092953295,13.331665790895816
1291,1291,ILSVRC2012_val_00004573.2_50.j2k,293,-231,6.334706222000023,0.6125525032845001,13.528893968761725
